"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0805_2012Metric";2;"22pF";;;
2;"C3,C4,C5,C6,C7,C8,C9,C11,C12,C13,C15,C16";"C_0805_2012Metric";12;"100nF";;;
3;"C10";"CP_Elec_6.3x7.7";1;"680uF";;;
4;"C14";"CP_Elec_6.3x7.7";1;"220u";;;
5;"D1,D2,D3,D4,D5,D6,D10";"LED_0805_2012Metric";7;"LED";;;
6;"D7";"D_SMB";1;"1SMA5937BT3G";;;
7;"D8,D9";"D_SMB";2;"SS24T3G";;;
8;"D11,D12";"SOT-23";2;"PESD2CAN.215";;;
9;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
10;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"ProgramerConnector";;;
11;"J2";"Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal";1;"CANcarConnector";;;
12;"J3";"Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal";1;"CANinverterConnector";;;
13;"J4";"Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal";1;"PowerConnector";;;
14;"J5";"PinHeader_1x03_P1.27mm_Vertical";1;"PowerOutputConnector";;;
15;"JP1,JP2";"PinHeader_1x02_P1.27mm_Vertical";2;"Jumper";;;
16;"L1";"L_0805_2012Metric";1;"L";;;
17;"L2";"L_12x12mm_H8mm";1;"33u";;;
18;"R1";"R_0805_2012Metric";1;"R_Small";;;
19;"R2";"R_1206_3216Metric";1;"100k";;;
20;"R3,R4,R5,R6,R7,R8,R9";"R_1206_3216Metric";7;"180";;;
21;"R10,R11";"R_1206_3216Metric";2;"120R";;;
22;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
23;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F105RBTx";;;
24;"U2";"TO-263-5_TabPin3";1;"LM2596S-5";;;
25;"U3";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
26;"U4,U5";"SOIC-8_3.9x4.9mm_P1.27mm";2;"MCP2562-H-SN";;;
27;"Y1";"Crystal_HC49-U_Vertical";1;"Crystal 8 MHz";;;
